"travelCode","userCode","from","to","flightType","price","time","distance","agency","date"
33,0,"Brasilia (DF)","Salvador (BH)","premium",1346.6,1.76,676.56,"CloudFy","05/14/2020"
33,0,"Salvador (BH)","Brasilia (DF)","premium",836.89,1.76,676.56,"CloudFy","05/18/2020"
34,0,"Aracaju (SE)","Sao Paulo (SP)","premium",630.34,1.02,392.76,"CloudFy","05/21/2020"
34,0,"Sao Paulo (SP)","Aracaju (SE)","premium",906.59,1.02,392.76,"CloudFy","05/24/2020"
35,0,"Recife (PE)","Florianopolis (SC)","firstClass",1434.38,1.76,676.53,"FlyingDrops","05/28/2020"
35,0,"Florianopolis (SC)","Recife (PE)","firstClass",1292.29,1.76,676.53,"FlyingDrops","06/01/2020"
36,0,"Recife (PE)","Aracaju (SE)","firstClass",1181.19,1.44,555.74,"Rainbow","06/04/2020"
36,0,"Aracaju (SE)","Recife (PE)","firstClass",1119.47,1.44,555.74,"Rainbow","06/06/2020"
37,0,"Aracaju (SE)","Florianopolis (SC)","firstClass",1499.93,2.1,808.85,"FlyingDrops","06/11/2020"
37,0,"Florianopolis (SC)","Aracaju (SE)","firstClass",1574.28,2.1,808.85,"FlyingDrops","06/15/2020"
38,0,"Brasilia (DF)","Natal (RN)","firstClass",1433.35,1.43,550.69,"FlyingDrops","06/18/2020"
38,0,"Natal (RN)","Brasilia (DF)","firstClass",1192.62,1.43,550.69,"FlyingDrops","06/20/2020"
39,0,"Brasilia (DF)","Salvador (BH)","economic",958.15,1.76,676.56,"CloudFy","06/25/2020"
39,0,"Salvador (BH)","Brasilia (DF)","economic",587.85,1.76,676.56,"CloudFy","06/26/2020"
40,0,"Brasilia (DF)","Rio de Janeiro (RJ)","economic",371.04,0.48,183.37,"Rainbow","07/02/2020"
40,0,"Rio de Janeiro (RJ)","Brasilia (DF)","economic",364.34,0.48,183.37,"Rainbow","07/03/2020"
41,0,"Recife (PE)","Rio de Janeiro (RJ)","firstClass",1706.89,2.3,885.57,"FlyingDrops","07/09/2020"
41,0,"Rio de Janeiro (RJ)","Recife (PE)","firstClass",1702.23,2.3,885.57,"FlyingDrops","07/13/2020"
42,0,"Recife (PE)","Campo Grande (MS)","premium",832.77,1.39,535.4,"Rainbow","07/16/2020"
42,0,"Campo Grande (MS)","Recife (PE)","premium",991.22,1.39,535.4,"Rainbow","07/19/2020"
43,0,"Recife (PE)","Salvador (BH)","firstClass",1484.94,2.05,788.55,"CloudFy","07/23/2020"
43,0,"Salvador (BH)","Recife (PE)","firstClass",1440.02,2.05,788.55,"CloudFy","07/27/2020"
44,0,"Recife (PE)","Florianopolis (SC)","economic",803.39,1.76,676.53,"Rainbow","07/30/2020"
44,0,"Florianopolis (SC)","Recife (PE)","economic",695.3,1.76,676.53,"Rainbow","08/03/2020"
45,0,"Recife (PE)","Natal (RN)","premium",474.6,0.58,222.67,"CloudFy","08/06/2020"
45,0,"Natal (RN)","Recife (PE)","premium",563.23,0.58,222.67,"CloudFy","08/07/2020"
46,0,"Aracaju (SE)","Rio de Janeiro (RJ)","firstClass",1183.57,1.55,597.61,"CloudFy","08/13/2020"
46,0,"Rio de Janeiro (RJ)","Aracaju (SE)","firstClass",1446.4,1.55,597.61,"CloudFy","08/16/2020"
47,0,"Brasilia (DF)","Sao Paulo (SP)","economic",533.8,0.67,257.81,"Rainbow","08/20/2020"
47,0,"Sao Paulo (SP)","Brasilia (DF)","economic",393.84,0.67,257.81,"Rainbow","08/21/2020"
48,0,"Brasilia (DF)","Florianopolis (SC)","economic",884.94,1.66,637.56,"CloudFy","08/27/2020"
48,0,"Florianopolis (SC)","Brasilia (DF)","economic",636.51,1.66,637.56,"CloudFy","08/29/2020"
49,0,"Brasilia (DF)","Rio de Janeiro (RJ)","premium",440.69,0.48,183.37,"Rainbow","09/03/2020"
49,0,"Rio de Janeiro (RJ)","Brasilia (DF)","premium",435.67,0.48,183.37,"Rainbow","09/07/2020"
50,0,"Aracaju (SE)","Rio de Janeiro (RJ)","premium",930.12,1.55,597.61,"Rainbow","09/10/2020"
50,0,"Rio de Janeiro (RJ)","Aracaju (SE)","premium",1098.93,1.55,597.61,"Rainbow","09/12/2020"
51,0,"Recife (PE)","Salvador (BH)","premium",1242.65,2.05,788.55,"CloudFy","09/17/2020"
51,0,"Salvador (BH)","Recife (PE)","premium",1016.53,2.05,788.55,"CloudFy","09/18/2020"
52,0,"Brasilia (DF)","Florianopolis (SC)","economic",889.07,1.66,637.56,"Rainbow","09/24/2020"
52,0,"Florianopolis (SC)","Brasilia (DF)","economic",555.01,1.66,637.56,"Rainbow","09/25/2020"
53,0,"Brasilia (DF)","Campo Grande (MS)","premium",831.7,0.72,277.7,"CloudFy","10/01/2020"
53,0,"Campo Grande (MS)","Brasilia (DF)","premium",661.32,0.72,277.7,"CloudFy","10/03/2020"
54,0,"Aracaju (SE)","Sao Paulo (SP)","firstClass",730.43,1.02,392.76,"CloudFy","10/08/2020"
54,0,"Sao Paulo (SP)","Aracaju (SE)","firstClass",1186.15,1.02,392.76,"CloudFy","10/11/2020"
55,0,"Recife (PE)","Florianopolis (SC)","firstClass",1371.83,1.76,676.53,"Rainbow","10/15/2020"
55,0,"Florianopolis (SC)","Recife (PE)","firstClass",1175.62,1.76,676.53,"Rainbow","10/17/2020"
56,0,"Aracaju (SE)","Brasilia (DF)","firstClass",959.29,1.11,425.98,"Rainbow","10/22/2020"
56,0,"Brasilia (DF)","Aracaju (SE)","firstClass",1214.82,1.11,425.98,"Rainbow","10/25/2020"
57,0,"Recife (PE)","Aracaju (SE)","premium",932.84,1.44,555.74,"CloudFy","10/29/2020"
57,0,"Aracaju (SE)","Recife (PE)","premium",835.21,1.44,555.74,"CloudFy","11/02/2020"
58,0,"Brasilia (DF)","Sao Paulo (SP)","premium",698.1,0.67,257.81,"CloudFy","11/05/2020"
58,0,"Sao Paulo (SP)","Brasilia (DF)","premium",602.12,0.67,257.81,"CloudFy","11/06/2020"
59,0,"Aracaju (SE)","Salvador (BH)","firstClass",1684.05,2.16,830.86,"CloudFy","11/12/2020"
59,0,"Salvador (BH)","Aracaju (SE)","firstClass",1531.92,2.16,830.86,"CloudFy","11/16/2020"
60,0,"Brasilia (DF)","Aracaju (SE)","firstClass",1214.82,1.11,425.98,"Rainbow","11/19/2020"
60,0,"Aracaju (SE)","Brasilia (DF)","firstClass",959.29,1.11,425.98,"Rainbow","11/23/2020"
61,0,"Aracaju (SE)","Natal (RN)","economic",332.1,0.46,176.33,"CloudFy","11/26/2020"
61,0,"Natal (RN)","Aracaju (SE)","economic",361.68,0.46,176.33,"CloudFy","11/27/2020"
62,0,"Aracaju (SE)","Salvador (BH)","firstClass",1684.05,2.16,830.86,"CloudFy","12/03/2020"
62,0,"Salvador (BH)","Aracaju (SE)","firstClass",1531.92,2.16,830.86,"CloudFy","12/06/2020"
63,0,"Brasilia (DF)","Natal (RN)","firstClass",1434.91,1.43,550.69,"Rainbow","12/10/2020"
63,0,"Natal (RN)","Brasilia (DF)","firstClass",1286.63,1.43,550.69,"Rainbow","12/12/2020"
64,0,"Recife (PE)","Salvador (BH)","firstClass",1484.94,2.05,788.55,"CloudFy","12/17/2020"
64,0,"Salvador (BH)","Recife (PE)","firstClass",1440.02,2.05,788.55,"CloudFy","12/19/2020"
65,0,"Aracaju (SE)","Rio de Janeiro (RJ)","economic",717.04,1.55,597.61,"CloudFy","12/24/2020"
65,0,"Rio de Janeiro (RJ)","Aracaju (SE)","economic",796.42,1.55,597.61,"CloudFy","12/25/2020"
66,0,"Recife (PE)","Rio de Janeiro (RJ)","firstClass",1706.89,2.3,885.57,"FlyingDrops","12/31/2020"
66,0,"Rio de Janeiro (RJ)","Recife (PE)","firstClass",1702.23,2.3,885.57,"FlyingDrops","01/03/2021"
67,0,"Recife (PE)","Aracaju (SE)","economic",663.23,1.44,555.74,"Rainbow","01/07/2021"
67,0,"Aracaju (SE)","Recife (PE)","economic",602.49,1.44,555.74,"Rainbow","01/10/2021"
68,0,"Recife (PE)","Salvador (BH)","firstClass",1470.41,2.05,788.55,"Rainbow","01/14/2021"
68,0,"Salvador (BH)","Recife (PE)","firstClass",1440.25,2.05,788.55,"Rainbow","01/17/2021"
69,0,"Recife (PE)","Sao Paulo (SP)","premium",670.13,1.26,486.52,"Rainbow","01/21/2021"
69,0,"Sao Paulo (SP)","Recife (PE)","premium",1145.72,1.26,486.52,"Rainbow","01/25/2021"
70,0,"Aracaju (SE)","Sao Paulo (SP)","firstClass",756.3,1.02,392.76,"FlyingDrops","01/28/2021"
70,0,"Sao Paulo (SP)","Aracaju (SE)","firstClass",1269.73,1.02,392.76,"FlyingDrops","01/29/2021"
71,0,"Brasilia (DF)","Salvador (BH)","firstClass",1724.49,1.76,676.56,"FlyingDrops","02/04/2021"
71,0,"Salvador (BH)","Brasilia (DF)","firstClass",1020.08,1.76,676.56,"FlyingDrops","02/07/2021"
72,0,"Aracaju (SE)","Recife (PE)","firstClass",1119.47,1.44,555.74,"Rainbow","02/11/2021"
72,0,"Recife (PE)","Aracaju (SE)","firstClass",1181.19,1.44,555.74,"Rainbow","02/13/2021"
73,0,"Aracaju (SE)","Brasilia (DF)","firstClass",898.04,1.11,425.98,"FlyingDrops","02/18/2021"
73,0,"Brasilia (DF)","Aracaju (SE)","firstClass",1287.52,1.11,425.98,"FlyingDrops","02/22/2021"
74,0,"Recife (PE)","Salvador (BH)","premium",1242.65,2.05,788.55,"CloudFy","02/25/2021"
74,0,"Salvador (BH)","Recife (PE)","premium",1016.53,2.05,788.55,"CloudFy","02/26/2021"
75,0,"Brasilia (DF)","Campo Grande (MS)","premium",831.7,0.72,277.7,"CloudFy","03/04/2021"
75,0,"Campo Grande (MS)","Brasilia (DF)","premium",661.32,0.72,277.7,"CloudFy","03/06/2021"
76,0,"Recife (PE)","Sao Paulo (SP)","economic",513.06,1.26,486.52,"CloudFy","03/11/2021"
76,0,"Sao Paulo (SP)","Recife (PE)","economic",829.91,1.26,486.52,"CloudFy","03/13/2021"
77,0,"Brasilia (DF)","Natal (RN)","firstClass",1313.76,1.43,550.69,"CloudFy","03/18/2021"
77,0,"Natal (RN)","Brasilia (DF)","firstClass",1300.53,1.43,550.69,"CloudFy","03/22/2021"
78,0,"Brasilia (DF)","Natal (RN)","firstClass",1313.76,1.43,550.69,"CloudFy","03/25/2021"
78,0,"Natal (RN)","Brasilia (DF)","firstClass",1300.53,1.43,550.69,"CloudFy","03/26/2021"
79,0,"Recife (PE)","Natal (RN)","firstClass",669.83,0.58,222.67,"CloudFy","04/01/2021"
79,0,"Natal (RN)","Recife (PE)","firstClass",744.11,0.58,222.67,"CloudFy","04/02/2021"
80,0,"Recife (PE)","Natal (RN)","premium",474.6,0.58,222.67,"CloudFy","04/08/2021"
80,0,"Natal (RN)","Recife (PE)","premium",563.23,0.58,222.67,"CloudFy","04/12/2021"
81,0,"Brasilia (DF)","Natal (RN)","economic",726.19,1.43,550.69,"Rainbow","04/15/2021"
81,0,"Natal (RN)","Brasilia (DF)","economic",686.79,1.43,550.69,"Rainbow","04/19/2021"
82,0,"Aracaju (SE)","Sao Paulo (SP)","firstClass",756.3,1.02,392.76,"FlyingDrops","04/22/2021"
82,0,"Sao Paulo (SP)","Aracaju (SE)","firstClass",1269.73,1.02,392.76,"FlyingDrops","04/25/2021"
83,0,"Brasilia (DF)","Salvador (BH)","firstClass",1665.24,1.76,676.56,"Rainbow","04/29/2021"
83,0,"Salvador (BH)","Brasilia (DF)","firstClass",1040.84,1.76,676.56,"Rainbow","05/03/2021"
84,0,"Brasilia (DF)","Salvador (BH)","firstClass",1665.24,1.76,676.56,"Rainbow","05/06/2021"
84,0,"Salvador (BH)","Brasilia (DF)","firstClass",1040.84,1.76,676.56,"Rainbow","05/09/2021"
85,0,"Recife (PE)","Brasilia (DF)","firstClass",721.93,0.63,242.21,"Rainbow","05/13/2021"
85,0,"Brasilia (DF)","Recife (PE)","firstClass",772.21,0.63,242.21,"Rainbow","05/17/2021"
86,0,"Aracaju (SE)","Sao Paulo (SP)","premium",588.14,1.02,392.76,"Rainbow","05/20/2021"
86,0,"Sao Paulo (SP)","Aracaju (SE)","premium",962.54,1.02,392.76,"Rainbow","05/23/2021"
87,0,"Brasilia (DF)","Recife (PE)","firstClass",804.24,0.63,242.21,"CloudFy","05/27/2021"
87,0,"Recife (PE)","Brasilia (DF)","firstClass",709.25,0.63,242.21,"CloudFy","05/28/2021"
88,0,"Aracaju (SE)","Sao Paulo (SP)","economic",446.73,1.02,392.76,"Rainbow","06/03/2021"
88,0,"Sao Paulo (SP)","Aracaju (SE)","economic",647.9,1.02,392.76,"Rainbow","06/06/2021"
89,1,"Recife (PE)","Aracaju (SE)","premium",932.84,1.44,555.74,"CloudFy","09/26/2019"
89,1,"Aracaju (SE)","Recife (PE)","premium",835.21,1.44,555.74,"CloudFy","09/28/2019"
90,1,"Aracaju (SE)","Sao Paulo (SP)","premium",630.34,1.02,392.76,"CloudFy","10/03/2019"
90,1,"Sao Paulo (SP)","Aracaju (SE)","premium",906.59,1.02,392.76,"CloudFy","10/04/2019"
91,1,"Aracaju (SE)","Salvador (BH)","economic",964.83,2.16,830.86,"CloudFy","10/10/2019"
91,1,"Salvador (BH)","Aracaju (SE)","economic",811.73,2.16,830.86,"CloudFy","10/11/2019"
92,1,"Recife (PE)","Brasilia (DF)","premium",638.63,0.63,242.21,"Rainbow","10/17/2019"
92,1,"Brasilia (DF)","Recife (PE)","premium",559.13,0.63,242.21,"Rainbow","10/18/2019"
93,1,"Brasilia (DF)","Florianopolis (SC)","economic",884.94,1.66,637.56,"CloudFy","10/24/2019"
93,1,"Florianopolis (SC)","Brasilia (DF)","economic",636.51,1.66,637.56,"CloudFy","10/25/2019"
94,1,"Aracaju (SE)","Sao Paulo (SP)","firstClass",756.3,1.02,392.76,"FlyingDrops","10/31/2019"
94,1,"Sao Paulo (SP)","Aracaju (SE)","firstClass",1269.73,1.02,392.76,"FlyingDrops","11/01/2019"
95,2,"Aracaju (SE)","Rio de Janeiro (RJ)","firstClass",1183.57,1.55,597.61,"CloudFy","09/26/2019"
95,2,"Rio de Janeiro (RJ)","Aracaju (SE)","firstClass",1446.4,1.55,597.61,"CloudFy","09/30/2019"
96,2,"Aracaju (SE)","Natal (RN)","premium",427.25,0.46,176.33,"Rainbow","10/03/2019"
96,2,"Natal (RN)","Aracaju (SE)","premium",479.37,0.46,176.33,"Rainbow","10/04/2019"
97,2,"Brasilia (DF)","Natal (RN)","firstClass",1433.35,1.43,550.69,"FlyingDrops","10/10/2019"
97,2,"Natal (RN)","Brasilia (DF)","firstClass",1192.62,1.43,550.69,"FlyingDrops","10/14/2019"
98,2,"Aracaju (SE)","Natal (RN)","economic",332.1,0.46,176.33,"CloudFy","10/17/2019"
98,2,"Natal (RN)","Aracaju (SE)","economic",361.68,0.46,176.33,"CloudFy","10/21/2019"
99,2,"Recife (PE)","Sao Paulo (SP)","firstClass",883.63,1.26,486.52,"CloudFy","10/24/2019"
99,2,"Sao Paulo (SP)","Recife (PE)","firstClass",1533.42,1.26,486.52,"CloudFy","10/28/2019"
100,2,"Brasilia (DF)","Rio de Janeiro (RJ)","economic",344.26,0.48,183.37,"CloudFy","10/31/2019"
100,2,"Rio de Janeiro (RJ)","Brasilia (DF)","economic",369.57,0.48,183.37,"CloudFy","11/04/2019"
101,2,"Aracaju (SE)","Campo Grande (MS)","economic",743.54,1.69,650.1,"Rainbow","11/07/2019"
101,2,"Campo Grande (MS)","Aracaju (SE)","economic",877.56,1.69,650.1,"Rainbow","11/10/2019"
102,2,"Brasilia (DF)","Salvador (BH)","economic",921.08,1.76,676.56,"Rainbow","11/14/2019"
102,2,"Salvador (BH)","Brasilia (DF)","economic",609.83,1.76,676.56,"Rainbow","11/18/2019"
103,2,"Aracaju (SE)","Sao Paulo (SP)","economic",446.73,1.02,392.76,"Rainbow","11/21/2019"
103,2,"Sao Paulo (SP)","Aracaju (SE)","economic",647.9,1.02,392.76,"Rainbow","11/23/2019"
104,2,"Recife (PE)","Natal (RN)","economic",301.51,0.58,222.67,"CloudFy","11/28/2019"
104,2,"Natal (RN)","Recife (PE)","economic",429.77,0.58,222.67,"CloudFy","11/30/2019"
105,2,"Brasilia (DF)","Aracaju (SE)","economic",654.88,1.11,425.98,"CloudFy","12/05/2019"
105,2,"Aracaju (SE)","Brasilia (DF)","economic",472.72,1.11,425.98,"CloudFy","12/09/2019"
106,2,"Brasilia (DF)","Sao Paulo (SP)","firstClass",893.65,0.67,257.81,"CloudFy","12/12/2019"
106,2,"Sao Paulo (SP)","Brasilia (DF)","firstClass",742.94,0.67,257.81,"CloudFy","12/13/2019"
107,2,"Aracaju (SE)","Natal (RN)","premium",427.25,0.46,176.33,"Rainbow","12/19/2019"
107,2,"Natal (RN)","Aracaju (SE)","premium",479.37,0.46,176.33,"Rainbow","12/22/2019"
108,2,"Brasilia (DF)","Recife (PE)","firstClass",804.24,0.63,242.21,"CloudFy","12/26/2019"
108,2,"Recife (PE)","Brasilia (DF)","firstClass",709.25,0.63,242.21,"CloudFy","12/29/2019"
109,2,"Aracaju (SE)","Campo Grande (MS)","firstClass",1389.37,1.69,650.1,"CloudFy","01/02/2020"
109,2,"Campo Grande (MS)","Aracaju (SE)","firstClass",1581.8,1.69,650.1,"CloudFy","01/04/2020"
110,2,"Recife (PE)","Salvador (BH)","premium",1242.65,2.05,788.55,"CloudFy","01/09/2020"
110,2,"Salvador (BH)","Recife (PE)","premium",1016.53,2.05,788.55,"CloudFy","01/10/2020"
111,2,"Recife (PE)","Aracaju (SE)","firstClass",1181.19,1.44,555.74,"Rainbow","01/16/2020"
111,2,"Aracaju (SE)","Recife (PE)","firstClass",1119.47,1.44,555.74,"Rainbow","01/18/2020"
112,2,"Brasilia (DF)","Sao Paulo (SP)","premium",698.1,0.67,257.81,"CloudFy","01/23/2020"
112,2,"Sao Paulo (SP)","Brasilia (DF)","premium",602.12,0.67,257.81,"CloudFy","01/27/2020"
113,2,"Aracaju (SE)","Brasilia (DF)","economic",548.62,1.11,425.98,"Rainbow","01/30/2020"
113,2,"Brasilia (DF)","Aracaju (SE)","economic",721.2,1.11,425.98,"Rainbow","02/03/2020"
114,2,"Recife (PE)","Brasilia (DF)","firstClass",709.25,0.63,242.21,"CloudFy","02/06/2020"
114,2,"Brasilia (DF)","Recife (PE)","firstClass",804.24,0.63,242.21,"CloudFy","02/08/2020"
115,2,"Recife (PE)","Rio de Janeiro (RJ)","firstClass",1611.14,2.3,885.57,"Rainbow","02/13/2020"
115,2,"Rio de Janeiro (RJ)","Recife (PE)","firstClass",1617.81,2.3,885.57,"Rainbow","02/16/2020"
116,2,"Aracaju (SE)","Campo Grande (MS)","economic",743.54,1.69,650.1,"Rainbow","02/20/2020"
116,2,"Campo Grande (MS)","Aracaju (SE)","economic",877.56,1.69,650.1,"Rainbow","02/24/2020"
117,2,"Aracaju (SE)","Recife (PE)","economic",602.49,1.44,555.74,"Rainbow","02/27/2020"
117,2,"Recife (PE)","Aracaju (SE)","economic",663.23,1.44,555.74,"Rainbow","02/29/2020"
118,2,"Aracaju (SE)","Rio de Janeiro (RJ)","firstClass",1183.57,1.55,597.61,"CloudFy","03/05/2020"
118,2,"Rio de Janeiro (RJ)","Aracaju (SE)","firstClass",1446.4,1.55,597.61,"CloudFy","03/08/2020"
119,2,"Aracaju (SE)","Salvador (BH)","firstClass",1723.71,2.16,830.86,"Rainbow","03/12/2020"
119,2,"Salvador (BH)","Aracaju (SE)","firstClass",1520.02,2.16,830.86,"Rainbow","03/14/2020"
120,2,"Brasilia (DF)","Sao Paulo (SP)","economic",533.8,0.67,257.81,"Rainbow","03/19/2020"
120,2,"Sao Paulo (SP)","Brasilia (DF)","economic",393.84,0.67,257.81,"Rainbow","03/20/2020"
121,2,"Brasilia (DF)","Florianopolis (SC)","premium",1222.24,1.66,637.56,"Rainbow","03/26/2020"
121,2,"Florianopolis (SC)","Brasilia (DF)","premium",814.55,1.66,637.56,"Rainbow","03/28/2020"
122,2,"Aracaju (SE)","Florianopolis (SC)","premium",1174.97,2.1,808.85,"CloudFy","04/02/2020"
122,2,"Florianopolis (SC)","Aracaju (SE)","premium",1149.53,2.1,808.85,"CloudFy","04/06/2020"
